3436,Joseph,Martins,Fully Meets,5
3437,Myriam,Givens,Fully Meets,5
3449,Gerald,Preston,Fully Meets,5
3464,James,Duke,Needs Improvement,5
3485,Jaiden,Johnson,Fully Meets,5
3491,Lennon,Buchanan,Fully Meets,5
3493,Hugo,Clay,Fully Meets,5
3496,Aspen,Bentley,Fully Meets,5
3499,Maci,Frost,Fully Meets,5
3508,Aidan,Harding,Fully Meets,5
3513,Damaris,Cisneros,Fully Meets,5
3516,Deborah,Love,Fully Meets,5
3539,Chaz,Bruce,Fully Meets,5
3561,Dianna,Blount,Fully Meets,5
3575,George,Johnson,Exceeds,5
3572,Timothy,Sullivan,Fully Meets,5
3591,Abdullah,Ellison,Needs Improvement,5
3601,Keagan,Henson,Fully Meets,5
3602,Helena,Davenport,Fully Meets,5
3607,Frankie,Atkins,Fully Meets,5
3625,Gabriel,Dodson,Fully Meets,5
3633,Emma,Ware,Fully Meets,5
3634,Keyon,Haley,Fully Meets,5
3629,Reginald,Lowery,Fully Meets,5
3630,Stephanie,Briggs,Fully Meets,5
3656,Francesca,Mcmahon,Exceeds,5
3704,Addisyn,Aguilar,Exceeds,5
3709,Jacey,Reyes,Exceeds,5
3712,Kyra,Ray,Needs Improvement,5
3794,Ayden,Chambers,Fully Meets,5
2699,Cannon,Gray,Fully Meets,5
3728,Aydan,Robbins,Fully Meets,5
3732,Orion,Ochoa,Fully Meets,5
3737,Arielle,Escobar,Fully Meets,5
3744,Skyler,Blankenship,Fully Meets,5
2208,Lisa,Galia,Needs Improvement,5
2209,Rick,Clayton,Needs Improvement,5
2098,Phillip,Fuentes,PIP,5
2101,Justice,Curry,PIP,5
2103,Nola,Sellers,Exceeds,5
2109,Zain,Tanner,Exceeds,5
2111,Carmelo,Hayden,Needs Improvement,5
2118,Dale,Mendoza,Exceeds,5
2119,Marcos,Carey,Exceeds,5
2121,Jenna,Cochran,Exceeds,5
2122,Tia,Kent,Needs Improvement,5
2137,Carlos,Murphy,Exceeds,5
2148,Joel,Koch,Exceeds,5
